contour_type,layer,channel,n_images,mean_contour_mean_activation,sem_contour_mean_activation,mean_background_mean_activation,sem_background_mean_activation,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment
C,h1_exc,55,25,2.6584148,0.021861957,2.0884135,0.007700359,1.2730097,0.009778568,2.0951746,0.015766287,1.6533203125,1.2672526416862937,0.009536136014967328,0.03333277465848208,0.0014892217004688658,77
C,h1_exc,33,25,2.1665995,0.012052302,1.7085266,0.010605053,1.2686555,0.006770967,2.0881894,0.010909679,1.6533203125,1.2630277456554762,0.006598648511147429,0.08656331182428008,0.0006813625263498003,78
C,h1_exc,37,25,3.002742,0.054801695,2.3746345,0.018945,1.2646306,0.021094317,2.0814483,0.033978958,1.6533203125,1.2589504155431763,0.020551951065289887,0.04418000502803638,0.0027698216556875386,79
C,h1_exc,88,25,1.3134457,0.014618843,1.0441961,0.00505379,1.258764,0.01595925,2.0721123,0.025709577,1.6533203125,1.2533036837449694,0.015550269711533461,0.11531048353296294,0.0033485693831791707,80
C,h1_exc,82,25,2.8033884,0.06367474,2.234949,0.021442814,1.2569741,0.03104805,2.068775,0.050038863,1.6533203125,1.25128506042766,0.03026568055835087,0.05173552333859739,0.0020997788589335134,81
C,h1_exc,115,25,0.6886486,0.01377653,0.5524336,0.00332533,1.2478147,0.026450794,2.0541732,0.04266241,1.6533203125,1.2424532784189108,0.025804079541154684,0.04261795022203753,0.0032349952640373836,82
C,h1_exc,119,25,0.64835334,0.01584932,0.5403465,0.003941137,1.2012811,0.030675111,1.9789146,0.04948725,1.6533203125,1.19693363265632,0.029932041107769185,0.055402490731857046,0.00253782823116792,83
C,h1_exc,101,25,1.289682,0.025177518,1.1258396,0.0037306915,1.145421,0.021821762,1.8889009,0.035283823,1.6533203125,1.142489347808607,0.021341190130910435,0.03567250481854046,0.001459831745158636,84
C,h1_exc,66,25,1.0515304,0.008142422,0.9590072,0.0089206435,1.0973592,0.006950139,1.8113396,0.011258371,1.6533203125,1.0955769035827925,0.006809552238699684,0.06856951311483402,0.0007617661818130065,85
C,h1_exc,10,25,1.0057929,0.008715715,0.9340133,0.0049412292,1.0765908,0.005692836,1.7776777,0.00923433,1.6533203125,1.0752167032712454,0.005585323726196601,0.03924578898848634,0.0007176751653976353,86
C,h1_exc,127,25,0.8175416,0.019222915,0.77368623,0.014475751,1.0558654,0.012336816,1.7439749,0.020017087,1.6533203125,1.0548318235584524,0.01210720477459665,0.0672954806001008,0.0019971482256922776,87
C,h1_exc,122,25,0.7095297,0.007996652,0.6809516,0.0026449792,1.0418512,0.010679355,1.7212491,0.01735252,1.6533203125,1.0410862969092742,0.010495558161633767,0.04566161065947736,0.00160607342263449,88
C,h1_exc,95,25,0.90239215,0.010896574,0.8988433,0.004625766,1.0042988,0.01221799,1.6602134,0.019854806,1.6533203125,1.0041691630464384,0.012009050051687026,0.035082544205115994,0.0018466646211828916,89
C,h1_exc,32,25,0.7639316,0.0066175545,0.7760885,0.004828794,0.9843788,0.0061753616,1.6278893,0.010042684,1.6533203125,0.9846182117517038,0.006074251649116574,0.021077683734164854,0.000777880014025923,90
C,h1_exc,15,25,0.8934842,0.012183407,0.91249764,0.012047966,0.97927934,0.0043349857,1.6196051,0.0070499936,1.6533203125,0.9796075607326528,0.004264142629760345,0.007086177529578653,0.0007727589670343522,91
C,h1_exc,3,25,1.02142,0.023772169,1.0427917,0.009004238,0.97935873,0.020967456,1.6194625,0.03414256,1.6533203125,0.9795212390686001,0.0206509059091099,0.02644766613590342,0.0019666226690853356,92
C,h1_exc,63,25,1.9331361,0.017573677,1.9757353,0.010069837,0.9785653,0.008017207,1.6184138,0.013037016,1.6533203125,0.9788870791123059,0.007885353667421427,0.018577055224990716,0.001522468746070554,93
C,h1_exc,17,25,1.6709862,0.016523018,1.7128358,0.0071572596,0.9755835,0.0088920435,1.6135522,0.014474004,1.6533203125,0.97594658195422,0.008754506639230731,0.022384982820730422,0.0006769479225061934,94
