filename,contour_type,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,rank_contour_enrichment
C_high_BL_0_J000_000.png,C,td_h1_exc,83,2.1617937,1.0527631,2.0534475,3.3368888,1.6533203125,2.0182953930457206,37
C_high_BL_0_J000_000.png,C,td_h1_exc,60,1.0696397,0.5402195,1.9800094,3.2213938,1.6533203125,1.9484390167977612,38
C_high_BL_0_J000_000.png,C,td_h1_exc,99,1.2939408,0.65398014,1.9785628,3.2191172,1.6533203125,1.9470619944622476,39
C_high_BL_0_J000_000.png,C,td_h1_exc,28,3.803862,1.9258579,1.975152,3.213746,1.6533203125,1.943813323483669,40
C_high_BL_0_J000_000.png,C,td_h1_exc,41,1.8454952,0.94959503,1.943455,3.1638033,1.6533203125,1.913605788272476,41
C_high_BL_0_J000_000.png,C,td_h1_exc,63,1.8824878,0.9789354,1.9229949,3.1315393,1.6533203125,1.894091122071475,42
C_high_BL_0_J000_000.png,C,td_h1_exc,94,2.2475784,1.1867301,1.8939254,3.0856607,1.6533203125,1.8663417209823012,43
C_high_BL_0_J000_000.png,C,td_h1_exc,40,1.9664149,1.0389565,1.8926826,3.0836985,1.6533203125,1.8651549062560182,44
C_high_BL_0_J000_000.png,C,td_h1_exc,54,2.0301692,1.1151756,1.8204929,2.9695742,1.6533203125,1.7961275698454098,45
C_high_BL_0_J000_000.png,C,td_h1_exc,75,0.8786431,0.4832382,1.8182402,2.9660084,1.6533203125,1.7939708260973797,46
C_high_BL_0_J000_000.png,C,td_h1_exc,24,0.9626658,0.5322884,1.8085419,2.9506552,1.6533203125,1.7846845416364179,47
C_high_BL_0_J000_000.png,C,td_h1_exc,58,1.9034017,1.0545582,1.8049282,2.944933,1.6533203125,1.7812234553368411,48
C_high_BL_0_J000_000.png,C,td_h1_exc,123,1.0944318,0.634219,1.725637,2.8192086,1.6533203125,1.7051799240668681,49
C_high_BL_0_J000_000.png,C,td_h1_exc,82,1.7013354,1.0162948,1.6740569,2.7372475,1.6533203125,1.65560625475286,50
C_high_BL_0_J000_000.png,C,td_h1_exc,108,1.8140084,1.0852629,1.6714921,2.7331686,1.6533203125,1.6531391798637654,51
C_high_BL_0_J000_000.png,C,td_h1_exc,91,0.90275407,0.5577427,1.6185851,2.6489482,1.6533203125,1.6021990152464454,52
C_high_BL_0_J000_000.png,C,td_h1_exc,87,0.56500304,0.3634195,1.5546855,2.5470347,1.6533203125,1.5405573292636994,53
C_high_BL_0_J000_000.png,C,td_h1_exc,46,0.60096645,0.40739155,1.4751569,2.4198968,1.6533203125,1.4636588010906728,54
C_high_BL_0_J000_000.png,C,td_h1_exc,3,0.71294284,0.4863648,1.4658602,2.405013,1.6533203125,1.4546564580873114,55
C_high_BL_0_J000_000.png,C,td_h1_exc,102,3.9692914,2.7273612,1.4553597,2.3881958,1.6533203125,1.444484605068135,56
C_high_BL_0_J000_000.png,C,td_h1_exc,85,0.514815,0.35477713,1.451094,2.3813634,1.6533203125,1.440352096002389,57
C_high_BL_0_J000_000.png,C,td_h1_exc,14,0.82091904,0.6044718,1.3580767,2.2321212,1.6533203125,1.3500839485215685,58
C_high_BL_0_J000_000.png,C,td_h1_exc,77,0.54165804,0.40373176,1.3416286,2.2056837,1.6533203125,1.334093386607433,59
C_high_BL_0_J000_000.png,C,td_h1_exc,19,0.29221264,0.21912986,1.3335135,2.1926348,1.6533203125,1.3262008523687705,60
C_high_BL_0_J000_000.png,C,td_h1_exc,47,1.0903583,0.82591856,1.3201765,2.1711814,1.6533203125,1.31322491522413,61
C_high_BL_0_J000_000.png,C,td_h1_exc,55,1.2004095,0.91208893,1.3161101,2.1646385,1.6533203125,1.3092674721459545,62
C_high_BL_0_J000_000.png,C,td_h1_exc,8,0.76538765,0.5946952,1.2870251,2.1178145,1.6533203125,1.2809462945817247,63
C_high_BL_0_J000_000.png,C,td_h1_exc,111,0.5094497,0.39686844,1.2836741,2.1124172,1.6533203125,1.2776817609518836,64
C_high_BL_0_J000_000.png,C,td_h1_exc,37,1.0555558,0.860823,1.226217,2.0197754,1.6533203125,1.221647954808225,65
C_high_BL_0_J000_000.png,C,td_h1_exc,117,0.38989314,0.32653046,1.1940483,1.967831,1.6533203125,1.1902297387908949,66
C_high_BL_0_J000_000.png,C,td_h1_exc,36,0.7961969,0.68085116,1.169414,1.9280154,1.6533203125,1.166147494261791,67
C_high_BL_0_J000_000.png,C,td_h1_exc,12,0.4704642,0.4051208,1.1612936,1.9148839,1.6533203125,1.1582049926716516,68
C_high_BL_0_J000_000.png,C,td_h1_exc,101,0.57295173,0.49525842,1.1568743,1.907736,1.6533203125,1.1538816270700323,69
C_high_BL_0_J000_000.png,C,td_h1_exc,15,0.61685944,0.53546107,1.1520154,1.8998758,1.6533203125,1.1491274462807133,70
C_high_BL_0_J000_000.png,C,td_h1_exc,115,0.4625076,0.40494117,1.1421599,1.8839285,1.6533203125,1.1394818727686538,71
