contour_type,layer,channel,mean_activation_on_contour_pct_full_td,mean_activation_on_contour_pct_no_td,mean_contour_enrichment_full_td,mean_contour_enrichment_no_td,mean_contour_preference_ratio_full_td,mean_contour_preference_ratio_no_td,mean_dice_top_activation_full_td,mean_dice_top_activation_no_td,td_effect_contour_preference_ratio,td_effect_activation_on_contour_pct,td_effect_contour_enrichment,td_effect_dice_top_activation
C,h1_exc,110,2.3933842,1.5861801,1.4476228027750841,0.9593906607284935,1.4586685,0.9587375,0.0999175371804069,0.029531551160622196,0.49993098,0.8072041,0.4882321420465906,0.0703859860197847
C,h1_exc,111,1.5379272,1.9586377,0.9302051503699125,1.1846691757984644,0.9291687,1.1883616,0.035967393557634585,0.04324143132486111,-0.25919294,-0.42071056,-0.25446402542855195,-0.0072740377672265225
C,h1_exc,112,1.514861,1.5740983,0.9162537784214774,0.9520830718495538,0.91502565,0.95131963,0.042497276460200704,0.02569671392045151,-0.036293983,-0.05923736,-0.03582929342807639,0.016800562539749195
C,h1_exc,113,0.6442715,1.3565577,0.38968340796309325,0.8205051483800367,0.38575786,0.8180403,0.003050364535319659,0.023370485209064467,-0.43228245,-0.71228623,-0.4308217404169435,-0.020320120673744807
C,h1_exc,114,1.5686483,1.7088672,0.9487867465824639,1.0335971441239828,0.94798434,1.0341818,0.012556775328909277,0.03350026138198485,-0.086197495,-0.14021885,-0.08481039754151898,-0.020943486053075572
C,h1_exc,115,2.0541732,1.7196023,1.2424532784189108,1.0400902666159042,1.2478147,1.0407966,0.04261795022203753,0.04291948800608772,0.20701802,0.33457088,0.20236301180300664,-0.0003015377840501904
C,h1_exc,116,1.4376206,1.3553534,0.8695354728582881,0.8197766864040456,0.86764556,0.81730235,0.04567471157004008,0.02058158049105792,0.050343215,0.082267284,0.04975878645424259,0.02509313107898216
C,h1_exc,117,2.1344702,2.3010373,1.2910203990597022,1.3917674255010641,1.2973807,1.4009961,0.09882445800844702,0.05721277130641313,-0.1036154,-0.16656709,-0.10074702644136191,0.0416116867020339
C,h1_exc,118,4.6087384,1.5997119,2.7875652507396382,0.9675753071322158,2.8754265,0.967054,0.20993882510667064,0.03520992206483264,1.9083725,3.0090265,1.8199899436074225,0.174728903041838
C,h1_exc,119,1.9789146,1.3020582,1.19693363265632,0.7875414227137187,1.2012811,0.7847402,0.055402490731857046,0.014407056908462062,0.41654086,0.6768564,0.4093922099426013,0.04099543382339498
